nombre  anyo    concepto   gasto
juan    2021    libros      100
juan    2021    libros       50
juan    2021    licencias   500
pedro   2021    material    600
pedro   2021    viajes     1200
pedro   2021    viajes      400
pedro   2021    dietas     1000
maria   2021    licencias   300
maria   2021    viajes      600
juan    2020    licencias   500
juan    2020    libros      150
juan    2020    viajes      250
pedro   2020    material    800
pedro   2020    viajes      440
maria   2020    dietas      200
juan    2020    licencias   500
juan    2020    licencias   250
juan    2019    viajes      350
pedro   2019    libros      150
pedro   2019    material    800
maria   2019    viajes      750
maria   2019    dietas      200
maria   2019    dietas      150
